timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1528087935354,5,login,200,OK,REST 1-1,text,true,,617,278,3,3,5,0,1
1528087935356,8,login,200,OK,REST 1-2,text,true,,617,278,5,5,8,0,1
1528087935359,8,login,200,OK,REST 1-3,text,true,,617,278,5,5,8,0,1
1528087935361,30,login,200,OK,REST 1-4,text,true,,617,278,19,19,30,0,1
1528087935360,32,get devices,200,OK,REST 1-1,text,true,,62636,624,19,19,27,0,0
1528087935362,31,login,200,OK,REST 1-5,text,true,,617,278,20,20,31,0,1
1528087935367,52,get devices,200,OK,REST 1-2,text,true,,62636,624,31,31,47,0,1
1528087935368,72,login,200,OK,REST 1-6,text,true,,617,278,41,41,72,0,0
1528087935367,75,get devices,200,OK,REST 1-3,text,true,,62636,624,42,42,70,0,1
1528087935368,76,login,200,OK,REST 1-8,text,true,,617,278,44,44,76,0,1
1528087935368,75,login,200,OK,REST 1-7,text,true,,617,278,43,43,75,0,0
1528087935370,77,login,200,OK,REST 1-9,text,true,,617,278,45,45,77,0,1
1528087935372,77,login,200,OK,REST 1-10,text,true,,617,278,47,47,77,0,1
1528087935374,78,login,200,OK,REST 1-11,text,true,,617,278,48,48,78,0,0
1528087935376,79,login,200,OK,REST 1-12,text,true,,617,278,50,50,79,0,0
1528087935378,79,login,200,OK,REST 1-13,text,true,,617,278,51,51,79,0,1
1528087935379,81,login,200,OK,REST 1-14,text,true,,617,278,53,53,81,0,1
1528087935381,82,login,200,OK,REST 1-15,text,true,,617,278,54,54,82,0,1
1528087935384,82,login,200,OK,REST 1-16,text,true,,617,278,56,56,82,0,0
1528087935385,84,login,200,OK,REST 1-17,text,true,,617,278,57,57,84,0,0
1528087935387,84,login,200,OK,REST 1-18,text,true,,617,278,59,59,84,0,1
1528087935389,86,login,200,OK,REST 1-19,text,true,,617,278,60,60,85,0,2
1528087935391,110,get devices,200,OK,REST 1-4,text,true,,62636,624,75,75,104,0,1
1528087935393,194,create devices,200,OK,REST 1-1,text,true,,242,912,119,119,194,0,0
1528087935393,197,login,200,OK,REST 1-20,text,true,,617,278,120,120,197,0,2
1528087935397,219,login,200,OK,REST 1-21,text,true,,617,278,134,134,219,0,2
1528087935393,224,get devices,200,OK,REST 1-5,text,true,,62802,624,135,135,219,0,1
1528087935399,219,login,200,OK,REST 1-22,text,true,,617,278,135,135,219,0,1
1528087935400,221,login,200,OK,REST 1-23,text,true,,617,278,137,137,220,0,1
1528087935402,221,login,200,OK,REST 1-24,text,true,,617,278,138,138,221,0,0
1528087935404,222,login,200,OK,REST 1-25,text,true,,617,278,140,140,222,0,0
1528087935405,224,login,200,OK,REST 1-26,text,true,,617,278,141,141,224,0,1
1528087935408,224,login,200,OK,REST 1-27,text,true,,617,278,143,143,224,0,0
1528087935412,222,login,200,OK,REST 1-28,text,true,,617,278,144,144,222,0,1
1528087935414,223,login,200,OK,REST 1-29,text,true,,617,278,146,146,223,0,1
1528087935416,224,login,200,OK,REST 1-30,text,true,,617,278,147,147,224,0,2
1528087935418,225,login,200,OK,REST 1-31,text,true,,617,278,149,149,225,0,3
1528087935422,374,create devices,200,OK,REST 1-2,text,true,,242,912,224,224,374,0,1
1528087935424,378,login,200,OK,REST 1-33,text,true,,617,278,224,224,378,0,1
1528087935422,380,login,200,OK,REST 1-32,text,true,,617,278,224,224,380,0,1
1528087935432,384,login,200,OK,REST 1-37,text,true,,617,278,225,225,384,0,1
1528087935433,383,login,200,OK,REST 1-38,text,true,,617,278,226,226,383,0,1
1528087935430,387,login,200,OK,REST 1-36,text,true,,617,278,229,229,387,0,0
1528087935428,390,login,200,OK,REST 1-35,text,true,,617,278,230,230,390,0,1
1528087935435,383,login,200,OK,REST 1-39,text,true,,617,278,233,233,383,0,1
1528087935426,393,login,200,OK,REST 1-34,text,true,,617,278,233,233,393,0,3
1528087935437,386,login,200,OK,REST 1-40,text,true,,617,278,237,237,385,0,3
1528087935438,387,login,200,OK,REST 1-41,text,true,,617,278,238,238,387,0,3
1528087935440,410,login,200,OK,REST 1-42,text,true,,617,278,252,252,410,0,3
1528087935440,411,get devices,200,OK,REST 1-6,text,true,,62968,624,252,252,406,0,2
1528087935443,478,create devices,200,OK,REST 1-3,text,true,,242,912,285,285,478,0,1
1528087935443,482,login,200,OK,REST 1-43,text,true,,617,278,287,287,482,0,1
1528087935444,483,login,200,OK,REST 1-44,text,true,,617,278,288,288,483,0,0
1528087935444,509,get devices,200,OK,REST 1-8,text,true,,63134,624,303,303,504,0,1
1528087935446,527,login,200,OK,REST 1-45,text,true,,617,278,314,314,527,0,1
1528087935445,529,get devices,200,OK,REST 1-7,text,true,,63134,624,314,314,524,0,0
1528087935448,550,login,200,OK,REST 1-46,text,true,,617,278,327,327,550,0,1
1528087935447,552,get devices,200,OK,REST 1-9,text,true,,63134,624,328,328,547,0,0
1528087935449,551,login,200,OK,REST 1-47,text,true,,617,278,329,329,551,0,1
1528087935451,574,login,200,OK,REST 1-48,text,true,,617,278,342,342,574,0,1
1528087935449,577,get devices,200,OK,REST 1-10,text,true,,63134,624,343,343,572,0,1
1528087935453,597,login,200,OK,REST 1-49,text,true,,617,278,354,354,596,0,1
1528087935452,599,get devices,200,OK,REST 1-11,text,true,,63134,624,356,356,593,0,0
1528087935454,597,login,200,OK,REST 1-50,text,true,,617,278,356,356,597,0,1
1528087935457,620,login,200,OK,REST 1-51,text,true,,617,278,370,370,620,0,1
1528087935455,623,get devices,200,OK,REST 1-12,text,true,,63134,624,371,371,618,0,1
1528087935459,642,login,200,OK,REST 1-52,text,true,,617,278,383,383,642,0,3
1528087935458,644,get devices,200,OK,REST 1-13,text,true,,63134,624,383,383,639,0,0
1528087935460,643,login,200,OK,REST 1-53,text,true,,617,278,384,384,643,0,1
1528087935462,666,login,200,OK,REST 1-54,text,true,,617,278,398,398,666,0,1
1528087935460,669,get devices,200,OK,REST 1-14,text,true,,63134,624,398,398,664,0,1
1528087935464,689,login,200,OK,REST 1-55,text,true,,617,278,411,411,689,0,1
1528087935463,691,get devices,200,OK,REST 1-15,text,true,,63134,624,412,412,686,0,1
1528087935465,690,login,200,OK,REST 1-56,text,true,,617,278,412,412,690,0,1
1528087935467,713,login,200,OK,REST 1-57,text,true,,617,278,426,426,713,0,1
1528087935466,715,get devices,200,OK,REST 1-16,text,true,,63134,624,426,426,710,0,0
1528087935469,735,login,200,OK,REST 1-58,text,true,,617,278,438,438,735,0,2
1528087935469,736,get devices,200,OK,REST 1-17,text,true,,63134,624,438,438,731,0,0
1528087935471,736,login,200,OK,REST 1-59,text,true,,617,278,439,439,735,0,0
1528087935473,759,login,200,OK,REST 1-60,text,true,,617,278,453,453,759,0,1
1528087935472,761,get devices,200,OK,REST 1-18,text,true,,63134,624,453,453,755,0,0
1528087935476,780,login,200,OK,REST 1-62,text,true,,617,278,465,465,780,0,1
1528087935475,783,get devices,200,OK,REST 1-19,text,true,,63134,624,467,467,777,0,2
1528087935478,780,login,200,OK,REST 1-63,text,true,,617,278,467,467,780,0,1
1528087935481,779,login,200,OK,REST 1-64,text,true,,617,278,468,468,779,0,1
1528087935483,780,login,200,OK,REST 1-61,text,true,,617,278,470,470,780,0,0
1528087935483,783,login,200,OK,REST 1-65,text,true,,617,278,471,471,783,0,1
1528087935484,785,login,200,OK,REST 1-66,text,true,,617,278,473,473,785,0,0
1528087935486,786,login,200,OK,REST 1-67,text,true,,617,278,474,474,786,0,1
1528087935487,788,login,200,OK,REST 1-68,text,true,,617,278,476,476,788,0,1
1528087935491,786,login,200,OK,REST 1-69,text,true,,617,278,477,477,786,0,1
1528087935492,788,login,200,OK,REST 1-70,text,true,,617,278,479,479,788,0,0
1528087935493,790,login,200,OK,REST 1-71,text,true,,617,278,480,480,790,0,0
1528087935495,791,login,200,OK,REST 1-72,text,true,,617,278,482,482,791,0,1
1528087935497,792,login,200,OK,REST 1-73,text,true,,617,278,483,483,792,0,1
1528087935498,793,login,200,OK,REST 1-74,text,true,,617,278,485,485,793,0,2
1528087935500,794,login,200,OK,REST 1-75,text,true,,617,278,486,486,794,0,1
1528087935501,862,create devices,200,OK,REST 1-4,text,true,,242,912,523,523,862,0,0
1528087935502,864,login,200,OK,REST 1-76,text,true,,617,278,525,525,864,0,2
1528087935503,866,login,200,OK,REST 1-77,text,true,,617,278,526,526,866,0,1
1528087935506,866,login,200,OK,REST 1-78,text,true,,617,278,528,528,866,0,2
1528087935508,867,login,200,OK,REST 1-79,text,true,,617,278,529,529,867,0,1
1528087935509,868,login,200,OK,REST 1-80,text,true,,617,278,531,531,868,0,1
1528087935511,869,login,200,OK,REST 1-81,text,true,,617,278,532,532,869,0,1
1528087935513,870,login,200,OK,REST 1-82,text,true,,617,278,534,534,870,0,1
1528087935514,872,login,200,OK,REST 1-83,text,true,,617,278,535,535,872,0,1
1528087935516,872,login,200,OK,REST 1-84,text,true,,617,278,536,536,872,0,1
1528087935519,872,login,200,OK,REST 1-85,text,true,,617,278,537,537,872,0,0
1528087935520,874,login,200,OK,REST 1-86,text,true,,617,278,539,539,874,0,0
1528087935522,874,login,200,OK,REST 1-87,text,true,,617,278,540,540,874,0,0
1528087935524,875,login,200,OK,REST 1-88,text,true,,617,278,542,542,875,0,1
1528087935525,877,login,200,OK,REST 1-89,text,true,,617,278,543,543,877,0,1
1528087935527,877,login,200,OK,REST 1-90,text,true,,617,278,544,544,877,0,1
1528087935531,877,login,200,OK,REST 1-91,text,true,,617,278,546,546,876,0,1
1528087935534,876,login,200,OK,REST 1-92,text,true,,617,278,547,547,876,0,1
1528087935538,875,login,200,OK,REST 1-93,text,true,,617,278,549,549,875,0,1
1528087935540,876,login,200,OK,REST 1-94,text,true,,617,278,550,550,876,0,1
1528087935542,877,login,200,OK,REST 1-95,text,true,,617,278,552,552,877,0,0
1528087935544,877,login,200,OK,REST 1-96,text,true,,617,278,552,552,877,0,1
1528087935546,878,login,200,OK,REST 1-97,text,true,,617,278,554,554,878,0,1
1528087935547,880,login,200,OK,REST 1-98,text,true,,617,278,555,555,880,0,1
1528087935549,881,login,200,OK,REST 1-99,text,true,,617,278,557,557,881,0,1
1528087935552,880,login,200,OK,REST 1-100,text,true,,617,278,558,558,880,0,0
1528087935553,882,login,200,OK,REST 1-101,text,true,,617,278,560,560,882,0,0
1528087935555,883,login,200,OK,REST 1-102,text,true,,617,278,561,561,883,0,1
1528087935557,883,login,200,OK,REST 1-103,text,true,,617,278,563,563,883,0,1
1528087935558,885,login,200,OK,REST 1-104,text,true,,617,278,564,564,885,0,1
1528087935560,886,login,200,OK,REST 1-105,text,true,,617,278,566,566,886,0,1
1528087935563,886,login,200,OK,REST 1-106,text,true,,617,278,567,567,886,0,0
1528087935564,887,login,200,OK,REST 1-107,text,true,,617,278,569,569,887,0,0
1528087935566,888,login,200,OK,REST 1-108,text,true,,617,278,570,570,888,0,1
1528087935568,889,login,200,OK,REST 1-109,text,true,,617,278,572,572,889,0,1
1528087935569,891,login,200,OK,REST 1-110,text,true,,617,278,573,573,891,0,1
1528087935572,890,login,200,OK,REST 1-111,text,true,,617,278,574,574,890,0,1
1528087935574,891,login,200,OK,REST 1-112,text,true,,617,278,575,575,891,0,0
1528087935575,893,login,200,OK,REST 1-113,text,true,,617,278,577,577,893,0,1
1528087935577,893,login,200,OK,REST 1-114,text,true,,617,278,578,578,893,0,1
1528087935579,894,login,200,OK,REST 1-115,text,true,,617,278,579,579,894,0,1
1528087935581,895,login,200,OK,REST 1-116,text,true,,617,278,581,581,895,0,1
1528087935583,895,login,200,OK,REST 1-117,text,true,,617,278,582,582,895,0,1
1528087935585,896,login,200,OK,REST 1-118,text,true,,617,278,583,583,896,0,1
1528087935586,898,login,200,OK,REST 1-119,text,true,,617,278,585,585,898,0,1
1528087935587,918,edit devices,200,OK,REST 1-1,text,true,,186,793,596,596,918,0,1
1528087935589,919,login,200,OK,REST 1-120,text,true,,617,278,597,597,919,0,0
1528087935591,942,login,200,OK,REST 1-121,text,true,,617,278,600,600,942,0,0
1528087935590,944,get devices,200,OK,REST 1-20,text,true,,63303,624,600,600,939,0,1
1528087935592,943,login,200,OK,REST 1-122,text,true,,617,278,600,600,943,0,0
1528087935594,943,login,200,OK,REST 1-123,text,true,,617,278,600,600,943,0,1
1528087935596,944,login,200,OK,REST 1-124,text,true,,617,278,600,600,944,0,1
1528087935597,946,login,200,OK,REST 1-125,text,true,,617,278,600,600,946,0,1
1528087935600,945,login,200,OK,REST 1-126,text,true,,617,278,600,600,945,0,0
